x,y,z
373314.28,4142344.5,1346.9
373318.28,4142274.0,1302.36
373326.6,4142195.8,1280.01
373333.06,4142141.8,1279.61
373321.47,4142222.0,1283.42
373314.88,4142298.2,1317.45
373308.25,4142370.5,1350.06
373295.44,4142449.8,1354.63
373282.62,4142522.2,1357.1
373296.62,4142438.2,1354.25
373308.88,4142360.0,1349.65
373314.2,4142288.8,1311.85
373321.06,4142212.2,1281.3
373332.62,4142132.0,1279.36
373320.25,4142205.5,1280.56
373312.7,4142283.0,1309.52
373307.44,4142354.5,1349.75
373294.78,4142433.2,1354.12
373280.53,4142517.0,1357.25
373290.44,4142455.0,1355.18
373303.1,4142375.8,1350.95
373310.2,4142303.5,1322.3
373315.97,4142228.2,1285.23
373327.03,4142148.2,1279.36
373319.28,4142189.5,1279.66
373310.53,4142268.0,1301.79
373306.2,4142339.5,1347.37
373294.06,4142417.0,1353.71
373280.12,4142499.8,1357.07
373284.28,4142471.5,1356.07
373297.38,4142391.0,1352.51
373306.2,4142317.5,1332.3
373311.22,4142244.2,1291.67
373321.28,4142164.8,1279.34
373318.56,4142172.8,1279.66
373308.66,4142252.0,1295.15
373303.7,4142325.0,1338.07
373293.4,4142400.2,1353.22
373279.7,4142481.8,1356.62
373277.78,4142489.2,1356.8
373291.3,4142407.8,1353.61
373302.12,4142332.0,1342.57
373306.56,4142260.0,1298.96
373315.53,4142181.2,1279.32
373317.78,4142156.5,1279.35
373306.88,4142236.2,1289.09
373301.6,4142310.5,1330.81
373292.72,4142384.2,1352.84
373279.25,4142464.5,1356.33
373271.34,4142506.8,1357.6
373285.25,4142424.0,1354.52
373297.75,4142346.2,1350.83
373302.38,4142275.2,1308.53
373309.88,4142197.8,1280.09
373317.03,4142140.0,1279.45
373305.25,4142220.2,1283.77
373299.3,4142295.8,1322.34
373292.03,4142368.0,1352.65
373278.78,4142447.5,1356.1
373264.75,4142524.8,1358.27
373279.16,4142440.5,1355.65
373291.9,4142362.2,1352.31
373298.4,4142290.5,1319.81
373304.3,4142214.8,1282.47
373316.03,4142134.5,1279.43
373304.12,4142203.5,1280.66
373297.1,4142280.2,1313.68
373291.34,4142351.8,1351.73
373278.4,4142430.0,1355.9
373263.8,4142513.8,1358.4
373272.88,4142458.0,1356.88
373285.97,4142378.5,1353.32
373294.38,4142305.5,1330.37
373299.34,4142231.2,1288.17
373310.28,4142151.5,1279.85
373303.47,4142186.2,1280.35
373294.9,4142264.5,1304.93
373290.6,4142335.5,1351.06
373277.75,4142413.5,1354.82
373263.56,4142495.8,1358.0
373266.5,4142475.5,1357.44
373279.94,4142394.8,1354.01
373290.38,4142320.0,1340.9
373294.88,4142247.5,1296.5
373304.44,4142168.2,1279.56
373302.9,4142169.5,1279.86
373293.22,4142248.0,1297.09
373288.5,4142320.5,1342.04
373277.47,4142396.0,1354.12
373263.62,4142477.0,1357.69
373260.12,4142493.8,1358.18
373274.06,4142411.8,1355.19
373286.6,4142334.8,1351.56
373290.72,4142265.0,1306.86
373298.72,4142187.0,1280.47
373302.88,4142150.5,1279.5
373291.8,4142230.5,1289.4
373286.75,4142304.5,1333.33
373277.44,4142378.2,1353.96
373263.84,4142458.2,1357.43
373253.62,4142513.2,1359.01
373268.06,4142429.8,1356.52
373280.78,4142352.0,1352.48
373287.0,4142280.5,1317.67
373293.28,4142204.2,1281.38
373302.72,4142133.5,1279.41
373290.78,4142213.5,1283.93
373285.0,4142289.0,1324.64
373277.3,4142361.5,1353.5
373263.9,4142440.5,1357.01
373248.9,4142525.2,1359.57
373262.12,4142447.2,1357.29
373275.25,4142368.2,1353.77
373283.5,4142295.8,1329.36
373288.62,4142221.2,1286.61
373299.9,4142141.2,1279.43
373290.0,4142196.5,1280.4
373283.0,4142273.5,1314.81
373277.0,4142344.5,1352.42
373263.88,4142422.8,1356.29
373249.25,4142505.8,1359.21
373255.8,4142465.5,1358.06
373269.3,4142385.8,1354.58
